Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
273,Dendritic Cell,CTNNA1,17.85,NEW,TRUE,TRUE,TRUE,,
274,Dendritic Cell,CTNNB1,10.05,KNOWN,TRUE,TRUE,TRUE,,
275,Dendritic Cell,CTNND1,7.7,NEW,FALSE,TRUE,FALSE,,
276,Dendritic Cell,CTSB,942.6,KNOWN,TRUE,FALSE,FALSE,,
277,Dendritic Cell,CTSD,116.65,KNOWN,TRUE,TRUE,TRUE,,
278,Dendritic Cell,CTSG,5.3,NEW,TRUE,TRUE,TRUE,,
279,Dendritic Cell,CTSH,86.25,NEW,TRUE,FALSE,FALSE,,
280,Dendritic Cell,CTSL,2.95,NEW,TRUE,FALSE,FALSE,,
281,Dendritic Cell,CUEDC1,10.2,NEW,TRUE,FALSE,FALSE,,
282,Dendritic Cell,CUL1,20.45,KNOWN,FALSE,TRUE,FALSE,,
283,Dendritic Cell,CUX1,13.4,KNOWN,TRUE,FALSE,FALSE,,
284,Dendritic Cell,CXCL10,1.5,KNOWN,TRUE,TRUE,TRUE,,
285,Dendritic Cell,CYLD,13.65,KNOWN,TRUE,TRUE,TRUE,,
286,Dendritic Cell,CYTH1,38.85,NEW,TRUE,FALSE,FALSE,,
287,Dendritic Cell,CYTH4,64.1,NEW,TRUE,FALSE,FALSE,,
288,Dendritic Cell,DAAM1,11.65,NEW,TRUE,FALSE,FALSE,,
289,Dendritic Cell,DAB2,25.6,KNOWN,TRUE,TRUE,TRUE,,
290,Dendritic Cell,DAP3,112.2,KNOWN,TRUE,FALSE,FALSE,,
291,Dendritic Cell,DAPK1,5,KNOWN,TRUE,TRUE,TRUE,,
292,Dendritic Cell,DAPK2,4.1,NEW,FALSE,TRUE,FALSE,,
293,Dendritic Cell,DAPK3,15.85,NEW,TRUE,TRUE,TRUE,,
294,Dendritic Cell,DAPP1,82.25,KNOWN,TRUE,TRUE,TRUE,,
295,Dendritic Cell,DAXX,7.65,KNOWN,TRUE,TRUE,TRUE,,
296,Dendritic Cell,DBI,688.3,NEW,TRUE,FALSE,FALSE,,
297,Dendritic Cell,DBNL,334.9,KNOWN,TRUE,TRUE,TRUE,,
298,Dendritic Cell,DCP1B,3.45,NEW,TRUE,FALSE,FALSE,,
299,Dendritic Cell,DDB1,39.55,KNOWN,TRUE,TRUE,TRUE,,
300,Dendritic Cell,DDB2,4.45,KNOWN,TRUE,TRUE,TRUE,,
301,Dendritic Cell,DDIT4,141.9,KNOWN,TRUE,TRUE,TRUE,,
302,Dendritic Cell,DDX50,13,NEW,TRUE,FALSE,FALSE,,
303,Dendritic Cell,DDX58,1.4,KNOWN,FALSE,TRUE,FALSE,,
304,Dendritic Cell,DDX60L,1.55,NEW,TRUE,FALSE,FALSE,,
305,Dendritic Cell,DENND1A,6.15,NEW,TRUE,FALSE,FALSE,,
306,Dendritic Cell,DENND3,1.85,NEW,TRUE,FALSE,FALSE,,
307,Dendritic Cell,DEPTOR,9.2,NEW,FALSE,TRUE,FALSE,,
308,Dendritic Cell,DERA,50.8,NEW,TRUE,FALSE,FALSE,,
309,Dendritic Cell,DHRS3,14.85,NEW,TRUE,FALSE,FALSE,,
310,Dendritic Cell,DHX58,3.45,KNOWN,TRUE,FALSE,FALSE,,
311,Dendritic Cell,DIABLO,19.075,KNOWN,FALSE,TRUE,FALSE,,
312,Dendritic Cell,DIAPH1,10.15,NEW,TRUE,TRUE,TRUE,,
313,Dendritic Cell,DIS3L2,4.3,NEW,TRUE,FALSE,FALSE,,
314,Dendritic Cell,DMAP1,19.5,KNOWN,FALSE,TRUE,FALSE,,
315,Dendritic Cell,DNAJA3,5.05,KNOWN,FALSE,TRUE,FALSE,,
316,Dendritic Cell,DNAJB12,17.8,NEW,TRUE,FALSE,FALSE,,
317,Dendritic Cell,DNAJC5,3.6,KNOWN,FALSE,TRUE,FALSE,,
318,Dendritic Cell,DNM1L,11.65,NEW,TRUE,FALSE,FALSE,,
319,Dendritic Cell,DNM2,6.05,KNOWN,TRUE,TRUE,TRUE,,
320,Dendritic Cell,DNMT1,22.7,KNOWN,TRUE,FALSE,FALSE,,
321,Dendritic Cell,DOCK10,4.3,NEW,TRUE,FALSE,FALSE,,
322,Dendritic Cell,DOCK5,1.35,NEW,TRUE,FALSE,FALSE,,
