Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
1189,NA,LINC00299,NA,NA,NEW,TRUE,FALSE,FALSE
1190,NA,LINC00474,NA,NA,NEW,TRUE,FALSE,FALSE
1245,NA,MAP3K20,NA,NA,NEW,FALSE,TRUE,FALSE
1330,NA,MIR17HG,NA,NA,NEW,FALSE,TRUE,FALSE
1354,NA,MRE11,NA,NA,NEW,TRUE,TRUE,TRUE
1357,NA,MRTFA,NA,NA,NEW,TRUE,TRUE,TRUE
1425,NA,NEURL3,NA,NA,NEW,TRUE,FALSE,FALSE
1535,NA,PAK5,NA,NA,NEW,FALSE,TRUE,FALSE
1578,NA,PECAM1,NA,NA,NEW,TRUE,FALSE,FALSE
1604,NA,PIDD1,NA,NA,NEW,TRUE,TRUE,TRUE
1657,NA,PLSCR3,NA,NA,NEW,TRUE,FALSE,FALSE
1738,NA,PRKN,NA,NA,NEW,TRUE,TRUE,TRUE
1768,NA,PTPA,NA,NA,NEW,TRUE,TRUE,TRUE
1803,NA,RACK1,NA,NA,NEW,FALSE,TRUE,FALSE
1882,NA,RIPOR2,NA,NA,NEW,TRUE,FALSE,FALSE
1903,NA,RPL39L,NA,NA,NEW,TRUE,FALSE,FALSE
1932,NA,RXYLT1,NA,NA,NEW,TRUE,FALSE,FALSE
2100,NA,SQOR,NA,NA,NEW,TRUE,FALSE,FALSE
2187,NA,TENT4A,NA,NA,NEW,TRUE,FALSE,FALSE
2208,NA,THAP12,NA,NA,NEW,FALSE,TRUE,FALSE
2343,NA,UHRF1,NA,NA,NEW,TRUE,FALSE,FALSE
2525,NA,ZNF84,NA,NA,NEW,TRUE,FALSE,FALSE
2526,NA,ZNF860,NA,NA,NEW,TRUE,FALSE,FALSE
