Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
285,NK cell,DCP1B,6,NEW,TRUE,FALSE,FALSE,,
286,NK cell,DDB1,46.4,KNOWN,TRUE,TRUE,TRUE,,
287,NK cell,DDB2,13.8,KNOWN,TRUE,TRUE,TRUE,,
288,NK cell,DDIT4,511.3,KNOWN,TRUE,TRUE,TRUE,,
289,NK cell,DDX50,21.8,NEW,TRUE,FALSE,FALSE,,
290,NK cell,DDX58,10.6,KNOWN,FALSE,TRUE,FALSE,,
291,NK cell,DDX60L,2.9,NEW,TRUE,FALSE,FALSE,,
292,NK cell,DENND1B,3,NEW,TRUE,FALSE,FALSE,,
293,NK cell,DENND3,3,NEW,TRUE,FALSE,FALSE,,
294,NK cell,DERA,47.1,NEW,TRUE,FALSE,FALSE,,
295,NK cell,DHRS3,54.4,NEW,TRUE,FALSE,FALSE,,
296,NK cell,DHX58,6.6,KNOWN,TRUE,FALSE,FALSE,,
297,NK cell,DIABLO,23.25,KNOWN,FALSE,TRUE,FALSE,,
298,NK cell,DIAPH1,13.7,NEW,TRUE,TRUE,TRUE,,
299,NK cell,DIS3L2,4.8,NEW,TRUE,FALSE,FALSE,,
300,NK cell,DLL1,4.2,KNOWN,FALSE,TRUE,FALSE,,
301,NK cell,DMAP1,46.5,KNOWN,FALSE,TRUE,FALSE,,
302,NK cell,DNAJA3,8.9,KNOWN,FALSE,TRUE,FALSE,,
303,NK cell,DNAJB12,14.2,NEW,TRUE,FALSE,FALSE,,
304,NK cell,DNAJC5,1.6,KNOWN,FALSE,TRUE,FALSE,,
305,NK cell,DNM1L,9.5,NEW,TRUE,FALSE,FALSE,,
306,NK cell,DNM2,9.2,KNOWN,TRUE,TRUE,TRUE,,
307,NK cell,DNMT1,46.4,KNOWN,TRUE,FALSE,FALSE,,
308,NK cell,DOCK10,15.9,NEW,TRUE,FALSE,FALSE,,
309,NK cell,DOK1,12.6,KNOWN,TRUE,TRUE,TRUE,,
310,NK cell,DPM1,22.2,NEW,FALSE,TRUE,FALSE,,
311,NK cell,DPP4,5.6,KNOWN,FALSE,TRUE,FALSE,,
312,NK cell,DPYD,15.5,NEW,TRUE,FALSE,FALSE,,
313,NK cell,DPYSL2,12.6,NEW,TRUE,FALSE,FALSE,,
314,NK cell,DTNB,4.5,NEW,TRUE,FALSE,FALSE,,
315,NK cell,DTNBP1,51.4,KNOWN,TRUE,FALSE,FALSE,,
316,NK cell,DTWD1,15.4,NEW,TRUE,FALSE,FALSE,,
317,NK cell,DTX3L,11.6,NEW,TRUE,FALSE,FALSE,,
318,NK cell,DUSP1,116.2,KNOWN,TRUE,TRUE,TRUE,,
319,NK cell,DUSP10,20.9,KNOWN,TRUE,TRUE,TRUE,,
320,NK cell,DUSP11,70.9,NEW,TRUE,FALSE,FALSE,,
321,NK cell,DUSP22,6,KNOWN,TRUE,TRUE,TRUE,,
322,NK cell,DUSP3,1.8,NEW,TRUE,TRUE,TRUE,,
