Table S1: IEI Candidate Genes without Filter,X1,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways,,
2131,2427,0.99907,ZBTB16,1.60E-09,0.00093147,KNOWN,TRUE,TRUE,TRUE,,
2132,1914,0.99909,RPS6KA5,1.26E-11,0.00091306,KNOWN,TRUE,TRUE,TRUE,,
2133,244,0.9991,CAMK2G,1.22E-11,0.00090008,KNOWN,TRUE,TRUE,TRUE,,
2134,674,0.99912,ERBB4,3.28E-17,0.00088401,KNOWN,TRUE,TRUE,TRUE,,
2135,1689,0.99912,PPP1CB,6.96E-09,0.00088337,KNOWN,TRUE,TRUE,TRUE,,
2136,2128,0.99916,STK39,5.09E-11,0.00083922,NEW,TRUE,TRUE,TRUE,,
2137,497,0.99918,DAAM1,3.35E-15,0.0008246,NEW,TRUE,FALSE,FALSE,,
2138,2417,0.99918,YAP1,1.18E-09,0.00082253,KNOWN,FALSE,TRUE,FALSE,,
2139,686,0.9992,ESR1,1.11E-09,0.00080059,KNOWN,TRUE,TRUE,TRUE,,
2140,36,0.99921,AEBP2,5.26E-09,0.00078725,NEW,TRUE,FALSE,FALSE,,
2141,2220,0.99922,TLE1,8.48E-12,0.00077501,KNOWN,TRUE,FALSE,FALSE,,
2142,986,0.99923,HSP90AB1,2.01E-10,0.00076508,KNOWN,TRUE,TRUE,TRUE,,
2143,427,0.99925,COPS5,4.70E-09,0.00075169,NEW,TRUE,TRUE,TRUE,,
2144,457,0.99926,CSNK1E,4.56E-09,0.00074238,KNOWN,TRUE,TRUE,TRUE,,
2145,1599,0.99927,PHLPP1,1.23E-14,0.00072964,NEW,TRUE,TRUE,TRUE,,
2146,27,0.99928,ADCY5,5.86E-14,0.00071925,NEW,FALSE,TRUE,FALSE,,
2147,882,0.99929,GRAMD1B,1.40E-12,0.00071312,NEW,TRUE,FALSE,FALSE,,
2148,803,0.9993,FUS,6.51E-12,0.00069526,KNOWN,FALSE,TRUE,FALSE,,
2149,161,0.99934,AUTS2,4.77E-14,0.00066098,NEW,TRUE,FALSE,FALSE,,
2150,972,0.99935,HNRNPR,1.34E-10,0.00064739,NEW,TRUE,FALSE,FALSE,,
2151,1186,0.99937,LIMK1,2.52E-11,0.00062909,KNOWN,FALSE,TRUE,FALSE,,
2152,2442,0.99937,ZMIZ1,4.30E-14,0.0006336,NEW,TRUE,FALSE,FALSE,,
2153,1710,0.99938,PPP5C,1.22E-10,0.00062416,KNOWN,FALSE,TRUE,FALSE,,
2154,1737,0.99938,PRKG1,4.98E-12,0.00062295,KNOWN,TRUE,TRUE,TRUE,,
2155,459,0.9994,CSNK2A2,5.40E-10,0.00059605,KNOWN,TRUE,TRUE,TRUE,,
2156,1194,0.9994,LMNA,1.13E-10,0.00060471,NEW,TRUE,FALSE,FALSE,,
2157,1227,0.99943,MAGI2,1.34E-15,0.00056641,KNOWN,TRUE,FALSE,FALSE,,
2158,1889,0.99943,RNF8,4.79E-10,0.00056748,KNOWN,FALSE,TRUE,FALSE,,
2159,153,0.99945,ATP2A2,1.51E-13,0.00055087,KNOWN,TRUE,FALSE,FALSE,,
