Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
186,T cell,CD2,482.1714286,KNOWN,FALSE,TRUE,FALSE,,
187,T cell,CD226,19.95714286,KNOWN,FALSE,TRUE,FALSE,,
188,T cell,CD244,28.2,NEW,FALSE,TRUE,FALSE,,
189,T cell,CD247,231.6714286,KNOWN,FALSE,TRUE,FALSE,,
190,T cell,CD28,38.27142857,KNOWN,TRUE,TRUE,TRUE,,
191,T cell,CD36,1.057142857,KNOWN,FALSE,TRUE,FALSE,,
192,T cell,CD4,56.35714286,KNOWN,FALSE,TRUE,FALSE,,
193,T cell,CD44,176.3142857,KNOWN,TRUE,TRUE,TRUE,,
194,T cell,CD47,130.9285714,KNOWN,FALSE,TRUE,FALSE,,
195,T cell,CD48,261.5285714,KNOWN,FALSE,TRUE,FALSE,,
196,T cell,CD5,73.8,KNOWN,TRUE,FALSE,FALSE,,
197,T cell,CD58,28.68571429,NEW,TRUE,FALSE,FALSE,,
198,T cell,CD68,6.628571429,NEW,TRUE,FALSE,FALSE,,
199,T cell,CD69,18.24285714,NEW,TRUE,FALSE,FALSE,,
200,T cell,CD74,958.9714286,KNOWN,TRUE,TRUE,TRUE,,
201,T cell,CD82,72.24285714,NEW,TRUE,TRUE,TRUE,,
202,T cell,CD83,3.828571429,NEW,TRUE,FALSE,FALSE,,
203,T cell,CDC14A,8.128571429,NEW,TRUE,FALSE,FALSE,,
204,T cell,CDC14B,1.228571429,NEW,TRUE,FALSE,FALSE,,
205,T cell,CDC20,2.471428571,KNOWN,FALSE,TRUE,FALSE,,
206,T cell,CDC25B,21.75714286,KNOWN,FALSE,TRUE,FALSE,,
207,T cell,CDC34,1.757142857,KNOWN,FALSE,TRUE,FALSE,,
208,T cell,CDC37,93.58571429,KNOWN,FALSE,TRUE,FALSE,,
209,T cell,CDC42,133.4714286,KNOWN,FALSE,TRUE,FALSE,,
