Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
356,0.61054,CDK2,0.00032225,0.38913
357,0.062909,CDK4,0.0029106,0.93418
358,0.13892,CDK5,0.00076355,0.86032
359,0.9149,CDK5R1,0.00052844,0.084567
360,4.62E-23,CDK5RAP2,7.58E-07,1
361,0.98315,CDK6,1.90E-06,0.01685
362,4.47E-07,CDK7,0.15701,0.84299
363,8.89E-05,CDK9,0.060998,0.93891
364,0.016021,CDKAL1,3.95E-05,0.98394
365,0.0018575,CDKN1A,0.25882,0.73932
366,0.62376,CDKN1B,0.0067285,0.36951
367,0.81963,CDKN1C,0.0037222,0.17665
368,0.39474,CDKN2A,0.037025,0.56824
369,0.39526,CDKN2C,0.036892,0.56784
370,0.0019455,CDKN3,0.019623,0.97843
371,0.14253,CDX1,0.071314,0.78615
372,0.52887,CDX2,0.0030691,0.46806
373,0.99504,CDYL,9.48E-08,0.0049607
374,0.55365,CEBPA,0.047526,0.39882
375,0.35809,CEBPB,0.047517,0.59439
376,0.61219,CEBPD,0.031304,0.3565
377,1.54E-06,CEL,0.03687,0.96313
378,0.99971,CELF1,9.01E-11,0.00028584
379,NA,TMEM2,NA,NA
380,4.72E-23,CEP128,0.04709,0.95291
381,4.54E-09,CEP85L,0.00048708,0.99951
382,NA,CFAP46,NA,NA
383,0.55563,CFL1,0.011669,0.4327
384,0.99967,CFLAR,1.28E-10,0.00032987
385,1.89E-31,CGN,0.94998,0.050021
386,5.63E-11,CHAT,0.047768,0.95223
387,1,CHD2,1.37E-41,2.37E-16
388,1,CHD9,6.25E-39,7.66E-12
389,3.14E-08,CHEK1,0.074104,0.9259
390,1.21E-24,CHEK2,0.99992,7.64E-05
391,1.11E-05,CHI3L1,0.050684,0.9493
392,0.22747,CHKA,5.85E-05,0.77247
393,2.99E-07,CHMP4C,0.67421,0.32579
394,0.030508,CHN1,0.00036837,0.96912
395,0.0023008,CHN2,0.0006611,0.99704
396,3.52E-05,CHST15,0.010711,0.98925
397,0.99403,CHUK,1.02E-11,0.0059748
398,0.99999,CIC,2.21E-16,1.02E-05
399,0.00053852,CISH,0.28505,0.71441
400,0.0078152,CKM,0.013188,0.979
401,0.4314,CKS1B,0.028765,0.53983
402,2.30E-05,CLC,0.69112,0.30886
403,0.27595,CLEC16A,1.29E-08,0.72405
404,0.049547,CLIC2,0.083497,0.86696
405,0.99997,CLIP2,4.16E-15,3.40E-05
406,0.0025864,CLSPN,6.44E-11,0.99741
407,0.99999,CMIP,3.81E-15,8.82E-06
408,0.010767,CMKLR1,0.14269,0.84654
409,0.038169,CMTM7,0.11476,0.84707
410,0.99252,CMTR1,3.60E-12,0.0074848
411,4.49E-18,CNBD1,0.99919,0.00080563
412,0.84533,CNIH3,0.00051708,0.15415
413,4.29E-30,CNKSR1,0.99994,6.36E-05
414,0.50652,CNR1,0.003648,0.48984
415,0.95549,CNTFR,4.26E-06,0.04451
416,1.99E-05,CNTN3,3.47E-07,0.99998
417,0.0039121,COBL,5.16E-07,0.99609
418,1.43E-14,COL14A1,1.03E-10,1
419,1.74E-10,COL18A1,6.05E-09,1
420,1,COL1A1,5.86E-31,1.06E-11
421,1,COL1A2,4.48E-22,1.24E-06
422,4.49E-45,COL22A1,0.99373,0.006274
