Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
851,HLA-DPA1,54.76111111
852,HLA-DPB1,119.0222222
853,HLA-DQA1,86.59444444
854,HLA-DQB1,61.16111111
855,HLA-DRA,79.13888889
856,HLA-DRB1,116.9
857,HLA-DRB5,10.31111111
858,HLA-E,162.0833333
859,HLA-F,21.89444444
860,HLX,9.883333333
861,HM13,154.1166667
862,HMCN1,0.027777778
863,HMGA1,34.82777778
864,HMGB1,495.5444444
865,HMGB2,142.8166667
866,HMGN1,132.8
867,HMOX1,29.19444444
868,HNF1A,0.016666667
869,HNRNPK,351.4111111
870,HNRNPL,0.794444444
871,HNRNPM,66.71111111
872,HNRNPR,34.70555556
873,HNRNPU,17.74444444
874,HNRNPUL1,9.983333333
875,HOOK2,1.016666667
876,HOXA7,0.366666667
877,HOXA9,1.505555556
878,HOXB7,0.477777778
879,HPCAL1,30.53888889
880,HRAS,0.327777778
881,HRH1,0.077777778
882,HS1BP3,7.133333333
883,HSF1,16.93333333
884,HSP90AA1,132.0944444
885,HSP90AB1,302.3277778
886,HSP90B1,141.4111111
887,HSPA1A,1.333333333
888,HSPA1B,0.016666667
889,HSPB1,53.08888889
890,HSPD1,47.98888889
891,HTR6,0.016666667
892,HTRA2,4.233333333
893,HTT,0.783333333
894,ICAM1,9.583333333
895,ICAM4,15.76111111
896,ID1,0.066666667
897,ID2,215.45
898,ID3,30.36666667
899,IDO1,22.67222222
900,IDO2,0.011111111
901,IER3,0.005555556
902,IER5,1.611111111
903,IFI16,55.02222222
904,IFI27,0.877777778
905,IFI35,50.80555556
906,IFI6,141.1833333
907,IFIT1,17.83888889
908,IFIT3,43.13333333
909,IFITM1,1047.705556
910,IFITM3,431.9555556
911,IFNA2,0.005555556
912,IFNB1,0.011111111
913,IFNG,1.161111111
914,IFNLR1,1.361111111
915,IGF1,0.1
916,IGF1R,0.6
917,IGF2R,1.427777778
918,IGFBP3,6.066666667
919,IKBKE,16.56666667
920,IL12A,0.222222222
921,IL13RA1,3.383333333
922,IL15,4.944444444
923,IL15RA,12.62777778
924,IL16,162.0722222
925,IL17D,0.022222222
926,IL18,5.677777778
927,IL1B,5.627777778
928,IL1R1,0.116666667
929,IL1RAP,6.605555556
930,IL2,0.011111111
931,IL23A,7.594444444
932,IL27,0.644444444
933,IL3RA,135.7722222
934,IL4,19.4
935,IL4R,8.744444444
936,IL5,0.05
937,IL6,0.361111111
938,ILK,156.0888889
939,IMMP2L,15.47777778
940,ING1,12.45
941,INPP4A,1.794444444
942,INPP4B,6.738888889
943,INPP5D,10.21111111
944,INSR,2.944444444
945,INTS7,8.155555556
946,IPCEF1,15.19444444
947,IQGAP1,19.67222222
948,IQGAP2,3.794444444
949,IQSEC1,2.772222222
