Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
411,Myeloid,ERAP1,14.3
412,Myeloid,ERBIN,5.383333333
413,Myeloid,ERCC1,60.11666667
414,Myeloid,ERCC5,16.35
415,Myeloid,ERCC6,5.55
416,Myeloid,ERGIC1,11.01666667
417,Myeloid,ERN1,2.933333333
418,Myeloid,ESYT2,1.116666667
419,Myeloid,ETS1,7.683333333
420,Myeloid,ETS2,17.01666667
421,Myeloid,ETV3,3.7
422,Myeloid,ETV6,5
423,Myeloid,ETV7,3.566666667
424,Myeloid,EVL,8.566666667
425,Myeloid,EXOC4,7.666666667
426,Myeloid,EXOC6,7.766666667
427,Myeloid,EZH2,1.083333333
428,Myeloid,EZR,103.5
429,Myeloid,F5,2.483333333
430,Myeloid,F8,2.033333333
431,Myeloid,FAF1,2.05
432,Myeloid,FAM111A,2.633333333
433,Myeloid,FAM129A,12.65
434,Myeloid,FAM172A,5.233333333
435,Myeloid,FAM19A2,6.1
436,Myeloid,FAM49B,249.65
437,Myeloid,FAM78A,7.916666667
438,Myeloid,FANCG,2.7
439,Myeloid,FAS,29.75
440,Myeloid,FBP1,109.9666667
441,Myeloid,FBXO11,1.466666667
442,Myeloid,FBXO5,1.016666667
443,Myeloid,FBXW11,7.316666667
444,Myeloid,FBXW7,4.75
445,Myeloid,FCER1A,2620.016667
446,Myeloid,FCER1G,2558.15
447,Myeloid,FCER2,3.566666667
448,Myeloid,FCGR1A,30.81666667
449,Myeloid,FCGR2A,424.4833333
450,Myeloid,FCGRT,815.2666667
451,Myeloid,FCHSD2,10.13333333
452,Myeloid,FDPS,65.76666667
453,Myeloid,FDXR,3
454,Myeloid,FEN1,8.766666667
455,Myeloid,FER,2.783333333
456,Myeloid,FES,97.08333333
457,Myeloid,FGFR2,1.85
458,Myeloid,FGGY,1.433333333
459,Myeloid,FGR,232
460,Myeloid,FHIT,2.133333333
461,Myeloid,FHL2,1.116666667
462,Myeloid,FKBP1A,638.65
463,Myeloid,FKBP5,59.5
464,Myeloid,FKBP8,29.5
465,Myeloid,FLI1,14.95
466,Myeloid,FLNA,17.98333333
467,Myeloid,FLNB,2.333333333
468,Myeloid,FLT3,1.433333333
469,Myeloid,FMR1,1.683333333
470,Myeloid,FNBP1,6.3
471,Myeloid,FNDC3B,10.88333333
472,Myeloid,FNIP2,1.633333333
473,Myeloid,FNTA,5.416666667
474,Myeloid,FOCAD,2.5
475,Myeloid,FOS,84.66666667
476,Myeloid,FOSL2,10.48333333
477,Myeloid,FOXJ3,5
478,Myeloid,FOXN3,20.95
479,Myeloid,FOXO3,4.866666667
480,Myeloid,FOXP1,16.83333333
481,Myeloid,FPR2,164
482,Myeloid,FRMD3,1.233333333
483,Myeloid,FRMD4B,8.933333333
484,Myeloid,FRS2,2.983333333
485,Myeloid,FRY,4
486,Myeloid,FRYL,2.466666667
487,Myeloid,FTO,11.4
488,Myeloid,FURIN,3.4
489,Myeloid,FUS,28.95
490,Myeloid,FYB1,401.3666667
491,Myeloid,FYN,2.716666667
492,Myeloid,G3BP1,34.16666667
493,Myeloid,GAB1,1.3
