Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
319,T cell,DTWD1,10.38571429
320,T cell,DTX3L,10.22857143
321,T cell,DUSP1,83.48571429
322,T cell,DUSP10,4.357142857
323,T cell,DUSP11,66.31428571
324,T cell,DUSP16,1.385714286
325,T cell,DUSP22,8.314285714
326,T cell,DUSP3,1.9
327,T cell,DUSP5,1.214285714
328,T cell,DUSP6,4.585714286
329,T cell,DUSP7,4.985714286
330,T cell,DVL2,7.742857143
331,T cell,DYM,19.51428571
332,T cell,DYRK1A,1.114285714
333,T cell,DYRK2,2.7
334,T cell,E2F3,1.585714286
335,T cell,E2F4,6.857142857
336,T cell,EARS2,3.371428571
337,T cell,ECE1,4.485714286
338,T cell,ECSIT,26.5
339,T cell,EDEM2,40.68571429
340,T cell,EEF1A1,8929.1
341,T cell,EHD1,29.65714286
342,T cell,EI24,7.171428571
343,T cell,EIF2A,40.14285714
344,T cell,EIF2AK1,7.014285714
345,T cell,EIF2AK2,11.9
346,T cell,EIF2AK4,7.114285714
347,T cell,EIF2S1,51.71428571
348,T cell,EIF3H,365.9857143
349,T cell,EIF4B,118.5285714
350,T cell,EIF4E,39.52857143
351,T cell,EIF4EBP1,20.11428571
352,T cell,EIF4G2,254.9571429
353,T cell,ELAVL1,20.27142857
354,T cell,ELF1,74.75714286
355,T cell,ELF4,5.114285714
356,T cell,ELK1,6.628571429
357,T cell,ELL,4.114285714
358,T cell,ELMO1,27.48571429
359,T cell,ELP1,5.3
360,T cell,ELP3,21.28571429
361,T cell,EMC2,19.97142857
362,T cell,EML2,4.8
363,T cell,ENOX2,10.74285714
364,T cell,ENTPD1,2.728571429
365,T cell,EP300,1.542857143
366,T cell,EP400,1.057142857
367,T cell,EPB41L2,1.085714286
368,T cell,EPHA1,1.171428571
369,T cell,EPHA4,1.414285714
370,T cell,EPOR,2.8
371,T cell,EPS15,11.6
372,T cell,EPSTI1,17.8
373,T cell,ERAP1,18.94285714
374,T cell,ERBB2,1.342857143
375,T cell,ERBIN,4.385714286
376,T cell,ERC1,1.214285714
377,T cell,ERCC1,43.48571429
378,T cell,ERCC5,19.44285714
379,T cell,ERCC6,2.871428571
380,T cell,ERGIC1,2.442857143
381,T cell,ERN1,4.042857143
382,T cell,ESYT2,4.757142857
383,T cell,ETS1,26.3
384,T cell,ETS2,2.785714286
385,T cell,ETV3,4.257142857
386,T cell,ETV6,1.185714286
387,T cell,ETV7,4
388,T cell,EVL,22.12857143
389,T cell,EXOC4,10.55714286
