Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
499,Dendritic Cell,GPATCH2,3.75
500,Dendritic Cell,GPCPD1,2.9
501,Dendritic Cell,GPD2,1.4
502,Dendritic Cell,GPR107,1.35
503,Dendritic Cell,GPR132,4.05
504,Dendritic Cell,GPR141,3
505,Dendritic Cell,GPR146,7.45
506,Dendritic Cell,GRAMD1A,2.85
507,Dendritic Cell,GRAMD1B,5.3
508,Dendritic Cell,GRB2,81.3
509,Dendritic Cell,GRK2,8.55
510,Dendritic Cell,GRK5,1.05
511,Dendritic Cell,GRK6,10.9
512,Dendritic Cell,GRN,1260.45
513,Dendritic Cell,GSAP,7.25
514,Dendritic Cell,GSK3B,1.15
515,Dendritic Cell,GSN,311.15
516,Dendritic Cell,GSTK1,277.05
517,Dendritic Cell,GSTP1,2204.9
518,Dendritic Cell,GTDC1,1.25
519,Dendritic Cell,GTF2H1,7.45
520,Dendritic Cell,GTF2I,15.05
521,Dendritic Cell,GZMB,2924.95
522,Dendritic Cell,H2AFX,1.1
523,Dendritic Cell,HAMP,2.5
524,Dendritic Cell,HBP1,27.15
525,Dendritic Cell,HCFC1,3.05
526,Dendritic Cell,HCK,166.55
527,Dendritic Cell,HDAC1,74.4
528,Dendritic Cell,HDAC2,42.15
529,Dendritic Cell,HDAC3,71.65
530,Dendritic Cell,HDAC4,2.3
531,Dendritic Cell,HDAC6,7.2
532,Dendritic Cell,HDAC9,39.8
533,Dendritic Cell,HERC1,5.45
534,Dendritic Cell,HGF,2.6
535,Dendritic Cell,HHAT,1.85
536,Dendritic Cell,HIF1A,12.35
537,Dendritic Cell,HIPK3,6.85
538,Dendritic Cell,HIST1H2AM,22
539,Dendritic Cell,HIST1H2BB,4.65
540,Dendritic Cell,HIST2H2AC,25.15
541,Dendritic Cell,HIVEP1,4.75
542,Dendritic Cell,HK1,39.45
543,Dendritic Cell,HK2,5.2
544,Dendritic Cell,HLA-A,31.1
545,Dendritic Cell,HLA-B,216.9
546,Dendritic Cell,HLA-DMA,5.25
547,Dendritic Cell,HLA-DMB,19.65
548,Dendritic Cell,HLA-DOA,5.45
549,Dendritic Cell,HLA-DOB,5.5
550,Dendritic Cell,HLA-DPA1,167
551,Dendritic Cell,HLA-DPB1,395.55
552,Dendritic Cell,HLA-DQA1,365.1
553,Dendritic Cell,HLA-DQB1,221.4
554,Dendritic Cell,HLA-DRA,91.6
555,Dendritic Cell,HLA-DRB1,395.6
556,Dendritic Cell,HLA-DRB5,32.85
557,Dendritic Cell,HLA-E,39.1
558,Dendritic Cell,HLA-F,3.25
559,Dendritic Cell,HLX,10.45
560,Dendritic Cell,HM13,240.25
561,Dendritic Cell,HMGA1,73.6
562,Dendritic Cell,HMGB1,462.5
563,Dendritic Cell,HMGB2,72.1
564,Dendritic Cell,HMGN1,214.2
565,Dendritic Cell,HMOX1,16.05
566,Dendritic Cell,HNRNPK,324.45
567,Dendritic Cell,HNRNPL,1.45
568,Dendritic Cell,HNRNPM,78.4
569,Dendritic Cell,HNRNPR,30.65
570,Dendritic Cell,HNRNPU,21.65
571,Dendritic Cell,HNRNPUL1,9.9
572,Dendritic Cell,HOXA9,3.2
573,Dendritic Cell,HPCAL1,26.55
574,Dendritic Cell,HS1BP3,6.15
575,Dendritic Cell,HSF1,16.55
576,Dendritic Cell,HSP90AA1,131.75
577,Dendritic Cell,HSP90AB1,269.6
578,Dendritic Cell,HSP90B1,269.85
579,Dendritic Cell,HSPB1,42.8
580,Dendritic Cell,HSPD1,58.2
581,Dendritic Cell,HTRA2,5
582,Dendritic Cell,ICAM1,16.45
583,Dendritic Cell,ICAM4,18.25
584,Dendritic Cell,ID2,102.15
585,Dendritic Cell,ID3,3.4
586,Dendritic Cell,IDO1,10.9
587,Dendritic Cell,IFI16,53.4
588,Dendritic Cell,IFI35,57.9
589,Dendritic Cell,IFI6,55.35
590,Dendritic Cell,IFIT1,4.05
591,Dendritic Cell,IFIT3,7.95
592,Dendritic Cell,IFITM1,43.75
593,Dendritic Cell,IFITM3,148.15
594,Dendritic Cell,IFNLR1,5.3
595,Dendritic Cell,IGF2R,1.35
596,Dendritic Cell,IGFBP3,27.45
597,Dendritic Cell,IKBKE,5.1
598,Dendritic Cell,IL13RA1,8.6
599,Dendritic Cell,IL15,2.7
600,Dendritic Cell,IL15RA,3.1
601,Dendritic Cell,IL16,118.65
602,Dendritic Cell,IL18,14.4
603,Dendritic Cell,IL1B,7.3
604,Dendritic Cell,IL1RAP,1.8
605,Dendritic Cell,IL3RA,274.05
606,Dendritic Cell,IL4R,3.4
607,Dendritic Cell,ILK,152.55
608,Dendritic Cell,IMMP2L,17.15
609,Dendritic Cell,ING1,4.05
