"","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","dip_url","sources","references","curation_effort","dorothea_level","n_references","n_resources"
"602","P49715","Q14314","CEBPA","FGL2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"603","P49715","Q4L180","CEBPA","FILIP1L",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"604","P49715","O75369","CEBPA","FLNB",1,0,0,0,0,0,NA,"HOCOMOCO_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"605","P49715","P02751","CEBPA","FN1",1,0,0,0,0,0,NA,"JASPAR_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"606","P49715","Q53EP0","CEBPA","FNDC3B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"607","P49715","Q9P278","CEBPA","FNIP2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"608","P49715","P55317","CEBPA","FOXA1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA","",0,"A;D",0,0
"609","P55317","P49715","FOXA1","CEBPA",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;PAZAR_DoRothEA","DoRothEA:19074951;HTRIdb:19074951",2,"A;D",1,2
"610","P49715","Q9Y261","CEBPA","FOXA2",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;TFactS_DoRothEA","",1,"A;D",0,0
"611","Q9Y261","P49715","FOXA2","CEBPA",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA","DoRothEA:19074951;HTRIdb:19074951",2,"A;D",1,2
"612","P49715","O00409","CEBPA","FOXN3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"613","P49715","O43524","CEBPA","FOXO3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"614","P49715","Q9H334","CEBPA","FOXP1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B;D",0,0
"615","Q9H334","P49715","FOXP1","CEBPA",1,0,0,0,0,0,NA,"PAZAR_DoRothEA","",0,"B;D",0,0
"616","P49715","Q9Y2L6","CEBPA","FRMD4B",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"617","P49715","Q5TBA9","CEBPA","FRY",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"618","P49715","P19883","CEBPA","FST",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"619","P49715","Q9C0B1","CEBPA","FTO",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"620","P49715","P06241","CEBPA","FYN",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"621","P49715","P24522","CEBPA","GADD45A",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"622","P49715","Q10471","CEBPA","GALNT2",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"623","P49715","P04406","CEBPA","GAPDH",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA","DoRothEA:12842822;HTRIdb:12842822",2,"A",1,2
"624","P49715","O60861","CEBPA","GAS7",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"625","P49715","P43694","CEBPA","GATA4",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"626","P49715","P48506","CEBPA","GCLC",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"627","P49715","P39905","CEBPA","GDNF",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","",0,"A",0,0
"628","P49715","Q9NXC2","CEBPA","GFOD1",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"629","P49715","P10912","CEBPA","GHR",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"630","P49715","Q8NEA6","CEBPA","GLIS3",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"631","P49715","Q9UI32","CEBPA","GLS2",1,1,0,1,1,0,NA,"PAZAR_DoRothEA;TFactS_DoRothEA","",1,"A",0,0
"632","P49715","O60547","CEBPA","GMDS",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"633","P49715","Q03113","CEBPA","GNA12",1,0,0,0,0,0,NA,"PAZAR_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
